GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
colab-api/client-generator-model,ch.colabproject.colab.generator.model.tools,PolymorphicDeserializer,84,0,4,0,20,0,7,0,5,0
colab-api/client-generator-model,ch.colabproject.colab.generator.model.tools,JsonbProvider,15,0,0,0,5,0,3,0,3,0
colab-api/client-generator-model,ch.colabproject.colab.generator.model.tools,JavaDocExtractor,292,0,26,0,73,0,22,0,9,0
colab-api/client-generator-model,ch.colabproject.colab.generator.model.tools,DateSerDe,24,0,0,0,6,0,3,0,3,0
colab-api/client-generator-model,ch.colabproject.colab.generator.model.tools,JavaDocExtractor.new TypeLiteral() {...},3,0,0,0,1,0,1,0,1,0
colab-api/client-generator-model,ch.colabproject.colab.generator.model.tools,ClassDoc,54,0,0,0,19,0,12,0,12,0
colab-api/client-generator-model,ch.colabproject.colab.generator.model.interfaces,WithJsonDiscriminator,17,0,2,0,5,0,3,0,2,0
colab-api/client-generator-model,ch.colabproject.colab.generator.model.exceptions,HttpErrorMessage,106,0,0,0,25,0,20,0,20,0
colab-api/client-generator-model,ch.colabproject.colab.generator.model.exceptions,HttpException,19,0,0,0,8,0,5,0,5,0
colab-api/client-generator-model,ch.colabproject.colab.generator.model.exceptions,HttpErrorMessage.MessageCode,154,0,0,0,16,0,1,0,1,0
