GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
colab-api,ch.colabproject.colab.api,Helper,34,100,6,8,7,23,5,9,1,6
colab-api,ch.colabproject.colab.api.rest.utils,DateSerializer,10,0,0,0,3,0,2,0,2,0
colab-api,ch.colabproject.colab.api.rest.utils,DateDeserializer,10,0,0,0,2,0,2,0,2,0
colab-api,ch.colabproject.colab.api.rest.utils,ColabDeserializer,63,0,4,0,13,0,6,0,4,0
colab-api,ch.colabproject.colab.api.rest.utils,Jsonable,3,14,1,1,1,4,1,2,0,2
colab-api,ch.colabproject.colab.api.ejb,ProjectFacade,19,26,0,0,5,7,2,4,2,4
colab-api,ch.colabproject.colab.api.ejb,WebsocketSynchronizer,0,53,1,5,0,15,1,7,0,5
colab-api,ch.colabproject.colab.api.ejb,TransactionManager,0,30,2,2,0,9,2,4,0,4
colab-api,ch.colabproject.colab.api.ejb,UserManagement,63,197,11,9,16,58,10,10,0,10
colab-api,ch.colabproject.colab.api.ejb,RequestManager,0,27,1,3,0,9,1,5,0,4
colab-api,ch.colabproject.colab.api.ws.utils,JsonDecoder,29,0,0,0,10,0,5,0,5,0
colab-api,ch.colabproject.colab.api.ws.utils,JsonEncoder,19,0,0,0,7,0,4,0,4,0
colab-api,ch.colabproject.colab.api.model.user,Account,4,13,0,0,2,5,1,4,1,4
colab-api,ch.colabproject.colab.api.model.user,AuthInfo,7,17,0,0,3,7,2,5,2,5
colab-api,ch.colabproject.colab.api.model.user,HashMethod.new HashMethod() {...},3,22,0,0,2,4,0,2,0,2
colab-api,ch.colabproject.colab.api.model.user,SignUpInfo,0,38,0,0,0,16,0,11,0,11
colab-api,ch.colabproject.colab.api.model.user,AuthMethod,6,21,0,0,2,8,2,3,2,3
colab-api,ch.colabproject.colab.api.model.user,User,51,18,0,0,19,6,13,3,13,3
colab-api,ch.colabproject.colab.api.model.user,HashMethod,0,20,0,0,0,3,0,2,0,2
colab-api,ch.colabproject.colab.api.model.user,LocalAccount,28,57,2,2,12,23,11,13,9,13
colab-api,ch.colabproject.colab.api.rest.config,JsonbProvider,30,3,0,0,6,1,2,1,2,1
colab-api,ch.colabproject.colab.api.ws,WebsocketEndpoint,62,28,1,1,17,8,6,4,5,4
colab-api,ch.colabproject.colab.api.exceptions,ColabErrorMessage,9,0,0,0,4,0,2,0,2,0
colab-api,ch.colabproject.colab.api.exceptions,ColabMergeException,15,0,0,0,5,0,2,0,2,0
colab-api,ch.colabproject.colab.api.exceptions,ColabErrorMessage.MessageCode,24,0,0,0,3,0,1,0,1,0
colab-api,ch.colabproject.colab.api.security,HttpSession,14,14,0,0,6,6,4,4,4,4
colab-api,ch.colabproject.colab.api.security,SessionManager,43,3,6,0,11,1,5,1,2,1
colab-api,ch.colabproject.colab.api.security,CookieFilter,52,3,2,0,13,1,3,1,2,1
colab-api,ch.colabproject.colab.api.setup,LiquibaseProducer,13,0,0,0,3,0,3,0,3,0
colab-api,ch.colabproject.colab.api.setup,ApplicationConfig,0,3,0,0,0,1,0,1,0,1
colab-api,ch.colabproject.colab.api.setup,DataSourceDefinitionProvider,2,3,0,0,1,1,1,1,1,1
colab-api,ch.colabproject.colab.api.model.project,Project,29,6,2,0,11,2,5,2,4,2
colab-api,ch.colabproject.colab.api.rest,ProjectController,10,32,0,0,3,8,2,5,2,5
colab-api,ch.colabproject.colab.api.rest,UserController,0,24,0,0,0,8,0,5,0,5
colab-api,ch.colabproject.colab.api.rest,MonitoringController,5,0,0,0,2,0,2,0,2,0
colab-api,ch.colabproject.colab.api.model.tools,EntityListener,0,21,2,2,0,7,2,3,0,3
colab-api,ch.colabproject.colab.api.ws.message,WsDeleteMessage,7,6,0,0,3,3,2,1,2,1
colab-api,ch.colabproject.colab.api.ws.message,WsUpdateMessage,3,6,0,0,1,3,1,1,1,1
colab-api,ch.colabproject.colab.api.ws.message,WsDeleteMessage.IndexEntry,6,11,0,0,2,4,2,1,2,1
colab-api,ch.colabproject.colab.api.ws.message,WsInitMessage,10,0,0,0,4,0,2,0,2,0
colab-api,ch.colabproject.colab.api.ws.message,WsMessage,0,3,0,0,0,1,0,1,0,1
