GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
colab-client/colab-api,ch.colabproject.colab.api.model.card,CardContentStatus,64,0,0,0,7,0,1,0,1,0
colab-client/colab-api,ch.colabproject.colab.api.model.card,AbstractCardType,614,0,64,0,46,0,102,0,70,0
colab-client/colab-api,ch.colabproject.colab.api.model.card,Card,1493,0,168,0,140,0,220,0,136,0
colab-client/colab-api,ch.colabproject.colab.api.model.card,CardContent,852,0,84,0,69,0,132,0,90,0
colab-client/colab-api,ch.colabproject.colab.api.model.card,CardType,312,0,32,0,30,0,43,0,27,0
colab-client/colab-api,ch.colabproject.colab.api.model.card,CardTypeRef,212,0,24,0,19,0,29,0,17,0
colab-client/colab-api,ch.colabproject.colab.api.model.card,CardContentCompletionMode,34,0,0,0,4,0,1,0,1,0
colab-client/colab-api,ch.colabproject.colab.api,Helper,294,0,30,0,71,0,34,0,19,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.IsAuthenticated,17,0,0,0,6,0,4,0,4,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.And,82,0,12,0,21,0,11,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.HasCardWriteRight,63,0,8,0,21,0,10,0,6,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.AlwaysTrue,19,0,0,0,6,0,4,0,4,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.Condition,35,0,2,0,9,0,3,0,2,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.IsCurrentUserTeamMateOfUser,66,0,12,0,19,0,11,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions,25,0,0,0,7,0,2,0,2,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.Not,61,0,10,0,18,0,10,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.IsCurrentUserThisUser,65,0,12,0,19,0,11,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.Or,86,0,12,0,21,0,11,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.AlwaysFalse,19,0,0,0,6,0,4,0,4,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.DoCurrentUserWorkOnSameProjectThanUser,66,0,12,0,20,0,11,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.IsCurrentUserInternalToProject,56,0,8,0,18,0,9,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.IsCurrentUserOwnerOfProject,56,0,8,0,18,0,9,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.HasCardReadRight,63,0,8,0,21,0,10,0,6,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.IsCurrentUserLeaderOfProject,56,0,8,0,18,0,9,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.security.permissions,Conditions.IsCurrentUserMemberOfProject,56,0,8,0,18,0,9,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.rest.document.bean,UrlMetadata,36,0,0,0,14,0,9,0,9,0
colab-client/colab-api,ch.colabproject.colab.api.rest.document.bean,ResourceExternalReference.Usage,34,0,0,0,4,0,1,0,1,0
colab-client/colab-api,ch.colabproject.colab.api.rest.document.bean,ResourceCreationData,155,0,6,0,50,0,23,0,20,0
colab-client/colab-api,ch.colabproject.colab.api.rest.document.bean,ResourceExternalReference,17,0,0,0,7,0,5,0,5,0
colab-client/colab-api,ch.colabproject.colab.api.microchanges.live,LiveUpdates,1294,0,148,0,278,0,112,0,38,0
